Physical Time: Physical Time (s);Particle Mass Flow 1 Monitor: Particle Mass Flow of Mass Flow Rate of Quarzmehl (kg/s);;dt;;;
4;0;0;;;;
4;0;0;0;;;
4;0;0;0;;;
4;0;0;0;;;
4;0;0;0;;;
4,01;0;0;0,01;;;
4,01;0;0;0;;;
4,01;0;0;0;;;
4,01;0;0;0;;;
4,01;0;0;0;;;
4,01;0;0;0;;;
4,01;0;0;0;;;
4,01;0;0;0;;;
4,01;0;0;0;;;
4,01;0;0;0;;;
4,02;0;0;0,01;;;
4,02;0;0;0;;;
4,02;0;0;0;;;
4,02;0;0;0;;;
4,02;0;0;0;;;
4,02;0;0;0;;;
4,02;0;0;0;;;
4,02;0;0;0;;;
4,02;0;0;0;;;
4,02;0;0;0;;;
4,03;0;0;0,01;;;
4,03;0;0;0;;;
4,03;0;0;0;;;
4,03;0;0;0;;;
4,03;0;0;0;;;
4,03;0;0;0;;;
4,03;0;0;0;;;
4,03;0;0;0;;;
4,03;0;0;0;;;
4,03;0;0;0;;;
4,04;0;0;0,01;;;
4,04;0;0;0;;;
4,04;0;0;0;;;
4,04;0;0;0;;;
4,04;0;0;0;;;
4,04;0;0;0;;;
4,04;0;0;0;;;
4,04;0;0;0;;;
4,04;0;0;0;;;
4,04;0;0;0;;;
4,05;0;0;0,01;;;
4,05;0;0;0;;;
4,05;0;0;0;;;
4,05;0;0;0;;;
4,05;0;0;0;;;
4,05;0;0;0;;;
4,05;0;0;0;;;
4,05;0;0;0;;;
4,05;0;0;0;;;
4,05;0;0;0;;;
4,06;0;0;0,01;;;
4,06;0;0;0;;;
4,06;0;0;0;;;
4,06;0;0;0;;;
4,06;0;0;0;;;
4,06;0;0;0;;;
4,06;0;0;0;;;
4,06;0;0;0;;;
4,06;0;0;0;;;
4,06;0;0;0;;;
4,07;0;0;0,01;;;
4,07;0;0;0;;;
4,07;0;0;0;;;
4,07;0;0;0;;;
4,07;0;0;0;;;
4,07;0;0;0;;;
4,07;0;0;0;;;
4,07;0;0;0;;;
4,07;0;0;0;;;
4,07;0;0;0;;;
4,08;0;0;0,01;;;
4,08;0;0;0;;;
4,08;0;0;0;;;
4,08;0;0;0;;;
4,08;0;0;0;;;
4,08;0;0;0;;;
4,08;0;0;0;;;
4,08;0;0;0;;;
4,08;0;0;0;;;
4,08;0;0;0;;;
4,09;0;0;0,01;;;
4,09;0;0;0;;;
4,09;0;0;0;;;
4,09;0;0;0;;;
4,09;0;0;0;;;
4,09;0;0;0;;;
4,09;0;0;0;;;
4,09;0;0;0;;;
4,09;0;0;0;;;
4,09;0;0;0;;;
4,1;0;0;0,01;;;
4,1;0;0;0;;;
4,1;0;0;0;;;
4,1;0;0;0;;;
4,1;0;0;0;;;
4,1;0;0;0;;;
4,1;0;0;0;;;
4,1;0;0;0;;;
4,1;0;0;0;;;
4,1;0;0;0;;;
4,11;0;0;0,01;;;
4,11;0;0;0;;;
4,11;0;0;0;;;
4,11;0;0;0;;;
4,11;0;0;0;;;
4,11;0;0;0;;;
4,11;0;0;0;;;
4,11;0;0;0;;;
4,11;0;0;0;;;
4,11;0;0;0;;;
4,12;0;0;0,01;;;
4,12;0;0;0;;;
4,12;0;0;0;;;
4,12;0;0;0;;;
4,12;0;0;0;;;
4,12;0;0;0;;;
4,12;0;0;0;;;
4,12;0;0;0;;;
4,12;0;0;0;;;
4,12;0;0;0;;;
4,13;0;0;0,01;;;
4,13;0;0;0;;;
4,13;0;0;0;;;
4,13;0;0;0;;;
4,13;0;0;0;;;
4,13;0;0;0;;;
4,13;0;0;0;;;
4,13;0;0;0;;;
4,13;0;0;0;;;
4,13;0;0;0;;;
4,14;0;0;0,01;;;
4,14;0;0;0;;;
4,14;0;0;0;;;
4,14;0;0;0;;;
4,14;0;0;0;;;
4,14;0;0;0;;;
4,14;0;0;0;;;
4,14;0;0;0;;;
4,14;0;0;0;;;
4,14;0;0;0;;;
4,15;0;0;0,01;;;
4,15;0;0;0;;;
4,15;0;0;0;;;
4,15;0;0;0;;;
4,15;0;0;0;;;
4,15;0;0;0;;;
4,15;0;0;0;;;
4,15;0;0;0;;;
4,15;0;0;0;;;
4,15;0;0;0;;;
4,16;0;0;0,01;;;
4,16;0;0;0;;;
4,16;0;0;0;;;
4,16;0;0;0;;;
4,16;0;0;0;;;
4,16;0;0;0;;;
4,16;0;0;0;;;
4,16;0;0;0;;;
4,16;0;0;0;;;
4,16;0;0;0;;;
4,17;0;0;0,01;;;
4,17;0;0;0;;;
4,17;0;0;0;;;
4,17;0;0;0;;;
4,17;0;0;0;;;
4,17;0;0;0;;;
4,17;0;0;0;;;
4,17;0;0;0;;;
4,17;0;0;0;;;
4,17;0;0;0;;;
4,18;0;0;0,01;;;
4,18;0;0;0;;;
4,18;0;0;0;;;
4,18;0;0;0;;;
4,18;0;0;0;;;
4,18;0;0;0;;;
4,18;0;0;0;;;
4,18;0;0;0;;;
4,18;0;0;0;;;
4,18;0;0;0;;;
4,19;0;0;0,01;;;
4,19;0;0;0;;;
4,19;0;0;0;;;
4,19;0;0;0;;;
4,19;0;0;0;;;
4,19;0;0;0;;;
4,19;0;0;0;;;
4,19;0;0;0;;;
4,19;0;0;0;;;
4,19;0;0;0;;;
4,2;0;0;0,01;;;
4,2;0;0;0;;;
4,2;0;0;0;;;
4,2;0;0;0;;;
4,2;0;0;0;;;
4,2;0;0;0;;;
4,2;0;0;0;;;
4,2;0;0;0;;;
4,2;0;0;0;;;
4,2;0;0;0;;;
4,21;0;0;0,01;;;
4,21;0;0;0;;;
4,21;0;0;0;;;
4,21;0;0;0;;;
4,21;0;0;0;;;
4,21;0;0;0;;;
4,21;0;0;0;;;
4,21;0;0;0;;;
4,21;0;0;0;;;
4,21;0;0;0;;;
4,22;0;0;0,01;;;
4,22;0;0;0;;;
4,22;0;0;0;;;
4,22;0;0;0;;;
4,22;0;0;0;;;
4,22;0;0;0;;;
4,22;0;0;0;;;
4,22;0;0;0;;;
4,22;0;0;0;;;
4,22;0;0;0;;;
4,23;0;0;0,01;;;
4,23;0;0;0;;;
4,23;0;0;0;;;
4,23;0;0;0;;;
4,23;0;0;0;;;
4,23;0;0;0;;;
4,23;0;0;0;;;
4,23;0;0;0;;;
4,23;0;0;0;;;
4,23;0;0;0;;;
4,24;0;0;0,01;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,25;0;0;0,01;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
